team,player_name,overall,pace,shooting,passing,dribbling,defending,physicality,position,club,source_url,notes
Qatar,MAHMOUD ABUNADA,64,,,,,,,GK,,https://sofifa.com/player/268979/mahmoud-abunada/260035/,SoFIFA search result snippet
Qatar,MESHAAL BARSHAM,69,,,,,,,GK,,https://sofifa.com/team/111527/qatar/?hl=zh-HK&col=oa&sort=desc,SoFIFA Qatar page visible rating
Qatar,PEDRO MIGUEL,68,,,,,,,DF,,https://sofifa.com/team/111527/qatar/?hl=zh-HK&col=oa&sort=desc,SoFIFA Qatar page visible rating
Qatar,LUCAS MENDES,68,,,,,,,DF,,https://sofifa.com/player/203244/lucas-michel-mendes/260030/,SoFIFA search result snippet
Qatar,ISSA LAYE,65,,,,,,,DF,,https://sofifa.com/player/84621/issa-laye/260035/,SoFIFA search result snippet
Qatar,JASSEM GABER,63,,,,,,,DF,,https://sofifa.com/player/268982/jassem-gaber/260006,SoFIFA search result snippet
Qatar,ABDULAZIZ HATEM,69,,,,,,,MF,,https://sofifa.com/player/215911/abdulaziz-hatem/260020/,SoFIFA search result snippet
Qatar,AHMED ALAAELDIN,67,,,,,,,FW,,https://sofifa.com/player/268779/ahmed-alaaeldin/260010,SoFIFA search result snippet
Qatar,EDMILSON JUNIOR,74,,,,,,,FW,,https://sofifa.com/player/228352/edmilson-junior-da-silva/,SoFIFA search result snippet
Qatar,MOHAMMED MUNTARI,66,,,,,,,FW,,https://sofifa.com/player/268780/mohammed-muntari/260018,SoFIFA search result snippet
Qatar,HASSAN ALHAYDOS,70,,,,,,,FW,,https://sofifa.com/player/180561/hassan-al-haydos/260037,SoFIFA search result snippet
Qatar,AKRAM AFIF,78,,,,,,,FW,,https://sofifa.com/player/234051/akram-afif/260019,SoFIFA search result snippet
Qatar,KARIM BOUDIAF,71,,,,,,,MF,,https://sofifa.com/player/268778/karim-boudiaf/260037/,SoFIFA search result snippet
Qatar,AYOUB ALOUI,60,,,,,,,DF,,https://sofifa.com/player/81834/ayoub-al-oui/?hl=en-US,SoFIFA search result snippet
Qatar,HOMAM AHMED,67,,,,,,,DF,,https://sofifa.com/player/268776/homam-ahmed/,SoFIFA search result snippet
Qatar,YUSUF ABDURISAG,65,,,,,,,FW,,https://sofifa.com/player/268877/yusuf-abdurisag/260004,SoFIFA search result snippet
Qatar,BOUALEM KHOUKHI,71,,,,,,,DF,,https://sofifa.com/team/111527/qatar/?hl=zh-HK&col=oa&sort=desc,SoFIFA Qatar page visible rating
Qatar,AHMED ALGANEHI,67,,,,,,,MF,,https://sofifa.com/player/74236/ahmed-al-ganehi/?hl=en-US,SoFIFA search result snippet
Qatar,SULTAN ALBRAKE,68,,,,,,,DF,,https://sofifa.com/team/111527/qatar/?hl=zh-HK&col=oa&sort=desc,SoFIFA Qatar page visible rating
Qatar,ALMOEZ ALI,74,,,,,,,FW,,https://sofifa.com/player/268772/almoez-ali/260004,SoFIFA search result snippet
Qatar,AHMED FATHY,67,,,,,,,MF,,https://sofifa.com/player/268879/ahmed-fathi/,SoFIFA search result snippet
Qatar,SALAH ZAKARIA,64,,,,,,,GK,,https://sofifa.com/player/272472/salah-zakaria/260006,SoFIFA search result snippet
Qatar,ASSIM MADIBO,65,,,,,,,MF,,https://sofifa.com/team/111527/qatar/?hl=zh-HK&col=oa&sort=desc,SoFIFA Qatar page visible rating
Qatar,TAHSIN MOHAMMED,58,,,,,,,FW,,https://sofifa.com/player/81956/tahsin-mohammed/260037/,SoFIFA search result snippet
Qatar,ALHASHMI ALHUSSEIN,56,,,,,,,DF,,https://sofifa.com/player/76232/al-hashmi-hussein/260010,SoFIFA search result snippet
Qatar,MOHAMED MANAI,60,,,,,,,FW,,https://sofifa.com/player/80131/mohamed-al-mannai/260031/,SoFIFA search result snippet
